SOM Pin,SOM Pin Name,CPU Pin
X1A1,CAN1_RX,G19
X1A2,CAN1_TX,G20
X1A3,QSPI1_RTCLK,R3
X1A4,GND,
X1A5,QSPI1_D3,T2
X1A6,QSPI1_D2,U2
X1A7,QSPI1_D0,U1
X1A8,QSPI1_D1,P3
X1A9,GND,
X1A10,X_GPMC_AD4/SYSBOOT4,L6
X1A11,X_GPMC_AD5/SYSBOOT5,L4
X1A12,X_GPMC_AD6/SYSBOOT6,L3
X1A13,X_GPMC_AD7/SYSBOOT7,L2
X1A14,GND,
X1A15,X_GPMC_AD12/SYSBOOT12,H1
X1A16,X_GPMC_AD13/SYSBOOT13,J3
X1A17,X_GPMC_AD14/SYSBOOT14,H2
X1A18,X_GPMC_AD15/SYSBOOT15,H3
X1A19,GND,
X1A20,X_GPMC_ADVN_ALE,N1
X1A21,X_GPMC_OEN_REN,M5
X1A22,X_GPMC_WAIT0,N2
X1A23,X_GPMC_WEN,M3
X1A24,GND,
X1A25,X_RGMII1_TXD3,C3
X1A26,X_RGMII1_TXD2,C4
X1A27,X_RGMII1_TXD1,B2
X1A28,X_RGMII1_TXD0,D6
X1A29,GND,
X1A30,X_RGMII1_RXD1,B5
X1A31,X_RGMII1_RXD0,A4
X1A32,X_KBD_ROW2,AG4
X1A33,X_KBD_ROW3,AG2
X1A34,GND,
X1A35,X_KBD_COL2,F4
X1A36,X_KBD_COL3,C1
X1A37,X_I2C4_SCL,R6
X1A38,X_I2C4_SDA,T9
X1A39,GND,
X1A40,X_SPI3_nCS0,A12
X1A41,X_SPI3_CK,B12
X1A42,X_SPI3_DIN,A11
X1A43,X_SPI3_DO,B13
X1A44,GND,
X1A45,X_WAKEUP2,AB16
X1A46,X_GPIO4_3,D1
X1A47,X_GPIO4_19,D11
X1A48,X_XREF_CLK3,C23
X1A49,GND,
X1A50,X_GPIO1_26,P6
X1A51,X_GPIO1_27,R9
X1A52,X_GPIO1_28,R5
X1A53,X_GPIO1_29,P5
X1A54,GND,
X1A55,X_GPIO2_2,P4
X1A56,X_GPIO7_5,T6
X1A57,X_GPIO6_4,A13
X1A58,X_GPIO8_2,F10
X1A59,GND,
X1A60,X_GPIO8_20,C9
X1A61,X_GPIO8_21,A9
X1A62,X_GPIO8_22,B9
X1A63,X_GPIO8_23,A10
X1A64,GND,
X1A65,X_VIN3A_D4,AE2
X1A66,X_VIN3A_D5,AE6
X1A67,X_VIN3A_D6,AD2
X1A68,X_VIN3A_D7,AD3
X1A69,GND,
X1A70,X_VIN3A_D12,A5
X1A71,X_VIN3A_D13,C6
X1A72,X_VIN3A_D14,C8
X1A73,X_VIN3A_D15,C7
X1A74,GND,
X1A75,X_VIN3A_CLK0,AH7
X1A76,X_XREF_CLK0,D18
X1A77,X_JTAG_TMS,F18
X1A78,X_JTAG_nTRST,D20
X1A79,GND,
X1A80,X_JTAG_RTCK,E18
X1B1,X_CAN2_TX,E21
X1B2,GND,
X1B3,X_CAN2_RX,F20
X1B4,X_QSPI1_SCLK,R2
X1B5,X_QSPI1_CS0,P2
X1B6,X_QSPI1_CS1,P1
X1B7,GND,
X1B8,X_GPMC_BEN0,N6
X1B9,X_GPMC_BEN1,M4
X1B10,X_GPMC_CLK,P7
X1B11,X_GPMC_CS0,T1
X1B12,GND,
X1B13,X_GPMC_AD0/SYSBOOT0,M6
X1B14,X_GPMC_AD1/SYSBOOT1,M2
X1B15,X_GPMC_AD2/SYSBOOT2,L5
X1B16,X_GPMC_AD3/SYSBOOT3,M1
X1B17,GND,
X1B18,X_GPMC_AD8/SYSBOOT8,L1
X1B19,X_GPMC_AD9/SYSBOOT9,K2
X1B20,X_GPMC_AD10/SYSBOOT10,J1
X1B21,X_GPMC_AD11/SYSBOOT11,J2
X1B22,GND,
X1B23,X_MDIO_D,U4
X1B24,X_MDIO_MCLK,V1
X1B25,X_RGMII1_TXC,D5
X1B26,X_RGMII1_TXCTL,C2
X1B27,GND,
X1B28,X_RGMII1_RXC,C5
X1B29,X_RGMII1_RXCTL,A3
X1B30,X_RGMII1_RXD3,B3
X1B31,X_RGMII1_RXD2,B4
X1B32,GND,
X1B33,X_KBD_ROW0,AD9
X1B34,X_KBD_ROW1,AF9
X1B35,X_KBD_COL0,E2
X1B36,X_KBD_COL1,D2
X1B37,GND,
X1B38,X_I2C5_SDA,G12
X1B39,X_I2C5_SCL,F12
X1B40,X_EHRPWM1B,AD8
X1B41,X_SPI3_nCS1,E14
X1B42,GND,
X1B43,X_MCASP2_ACLKX,A19
X1B44,X_MCASP2_AXR2,C15
X1B45,X_MCASP2_AXR3,A16
X1B46,X_MCASP2_FSX,A18
X1B47,GND,
X1B48,X_SPI2_nCS0,B24
X1B49,X_SPI2_DIN,G17
X1B50,X_SPI2_DOUT,B22
X1B51,X_SPI2_CLK,A26
X1B52,GND,
X1B53,X_GPIO8_3,G11
X1B54,X_GPIO8_4,E9
X1B55,X_GPIO8_5,F9
X1B56,X_GPIO8_6,F8
X1B57,GND,
X1B58,X_GPIO8_7,E7
X1B59,X_GPIO4_20,B10
X1B60,X_GPIO4_21,?????
X1B61,X_GPIO4_22,E11
X1B62,GND,
X1B63,X_VIN3A_D0,B7
X1B64,X_VIN3A_D1,B8
X1B65,X_VIN3A_D2,A7
X1B66,X_VIN3A_D3,A8
X1B67,GND,
X1B68,X_VIN3A_D8,E8
X1B69,X_VIN3A_D9,D9
X1B70,X_VIN3A_D10,D7
X1B71,X_VIN3A_D11,D8
X1B72,GND,
X1B73,X_VIN3A_DE0,N9
X1B74,X_VIN3A_FLD0,P9
X1B75,X_VIN3A_HSYNC0,N7
X1B76,X_VIN3A_VSYNC0,R4
X1B77,GND,
X1B78,X_JTAG_TCLK,E20
X1B79,X_JTAG_TDI,D23
X1B80,X_JTAG_TDO,F19
X2A1,VCC_3V3_IN,
X2A2,VCC_3V3_IN,
X2A3,VCC_3V3_IN,
X2A4,VDD_SD,
X2A5,GND,
X2A6,VBAT,
X2A7,X_UART3_RXD,V2
X2A8,X_UART3_TXD,Y1
X2A9,X_nRESET_OUT,F23*
X2A10,GND,
X2A11,X_MMC1_CLK,W6
X2A12,X_MMC1_CMD,Y6
X2A13,X_MMC1_CD,W7
X2A14,X_MMC1_WP,Y9
X2A15,GND,
X2A16,X_I2C1_SCL,C20
X2A17,X_I2C1_SDA,C21
X2A18,X_USB1_DM,AC12
X2A19,X_USB1_DP,AD12
X2A20,GND,
X2A21,X_USB_TXN0,AC11
X2A22,X_USB_TXP0,AD11
X2A23,GND,
X2A24,X_USB_RXP0,AE12
X2A25,X_USB_RXN0,AF12
X2A26,GND,
X2A27,X_USB2_DM,AF11
X2A28,X_USB2_DP,AE11
X2A29,X_USB2_DRVVBUS,AC10
X2A30,X_USB1_DRVVBUS,AB10
X2A31,X_I2C3_SDA,AC5
X2A32,X_I2C3_SCL,AB4
X2A33,X_SPI1_nCS0,A24
X2A34,X_SPI1_nCS1,A22
X2A35,GND,
X2A36,X_SPI1_DIN,B25
X2A37,X_SPI1_DOUT,F16
X2A38,X_SPI1_CLK,A25
X2A39,X_PWRON,
X2A40,GND,
X2A41,X_MCASP1_ACLKX,C14
X2A42,X_MCASP1_AXR14,G14
X2A43,X_MCASP1_AXR15,F14
X2A44,X_MCASP1_FSX,D14
X2A45,GND,
X2A46,X_XREF_CLK1,E17
X2A47,X_XREF_CLK2,B26
X2A48,X_WAKEUP1,AC17
X2A49,X_GPIO4_23,????
X2A50,GND,
X2A51,X_ETH0_A+/TX0+,
X2A52,X_ETH0_A-/TX0-,
X2A53,X_ETH0_B+/RX0+,
X2A54,X_ETH0_B-/RX0-,
X2A55,GND,
X2A56,X_HDMI1_CLK+,AH16
X2A57,X_HDMI1_CLK-,AG16
X2A58,X_HDMI_D0+,AH17
X2A59,X_HDMI_D0-,
X2A60,GND,
X2A61,X_HDMI_D1+,AH18
X2A62,X_HDMI_D1-,AG18
X2A63,X_HDMI_D2+,AH19
X2A64,X_HDMI_D2-,AG19
X2A65,GND,
X2A66,X_VOUT2_D4,E12
X2A67,X_VOUT2_D5,F13
X2A68,X_VOUT2_D6,C12
X2A69,X_VOUT2_D7,D12
X2A70,GND,
X2A71,X_VOUT2_D12,D15
X2A72,X_VOUT2_D13,B16
X2A73,X_VOUT2_D14,B17
X2A74,X_VOUT2_D15,A17
X2A75,GND,
X2A76,X_VOUT2_D20,AA3
X2A77,X_VOUT2_D21,AB9
X2A78,X_VOUT2_D22,AB3
X2A79,X_VOUT2_D23,AA4
X2A80,GND,
X2B1,VCC_3V3_IN,
X2B2,VCC_3V3_IN,
X2B3,VCC_3V3_IN,
X2B4,X_USB2_VBUS,
X2B5,GND,
X2B6,VCC_5V0_IN,
X2B7,X_UART5_RXD,F11
X2B8,X_UART5_TXD,G10
X2B9,X_nRESET_IN,
X2B10,X_EXT_PWR_ON,
X2B11,GND,
X2B12,X_MMC1_DAT0,AA6
X2B13,X_MMC1_DAT1,Y4
X2B14,X_MMC1_DAT2,AA5
X2B15,X_MMC1_DAT3,Y3
X2B16,GND,
X2B17,X_SATA_RX-,AH9
X2B18,X_SATA_RX+,AG9
X2B19,GND,
X2B20,X_SATA_TX-,AG10
X2B21,X_SATA_TX+,AH10
X2B22,GND,
X2B23,X_PCIE_RXN0,AG13
X2B24,X_PCIE_RXP0,AH13
X2B25,GND,
X2B26,X_PCIE_TXN0,AG14
X2B27,X_PCIE_TXP0,AH14
X2B28,GND,
X2B29,X_PCIE_TXN1,AG12
X2B30,X_PCIE_TXP1,AH12
X2B31,GND,
X2B32,X_PCIE_RXN1,AG11
X2B33,X_PCIE_RXP1,AH11
X2B34,GND,
X2B35,X_PCIE_REFCLKN,AH15
X2B36,X_PCIE_REFCLKP,AG15
X2B37,GND,
X2B38,X_MMC3_CLK,AD4
X2B39,X_MMC3_CMD,AC4
X2B40,X_MMC3_DAT0,AC7
X2B41,X_MMC3_DAT1,AC6
X2B42,X_MMC3_DAT2,AC9
X2B43,X_MMC3_DAT3,AC3
X2B44,X_MMC3_DAT4,AC8
X2B45,X_MMC3_DAT5,AD6
X2B46,X_MMC3_DAT6,AB8
X2B47,X_MMC3_DAT7,AB5
X2B48,GND,
X2B49,X_ETH0_C+,
X2B50,X_ETH0_C-,
X2B51,X_ETH0_D+,
X2B52,X_ETH0_D-,
X2B53,GND,
X2B54,X_ETH0_LED1,
X2B55,X_ETH0_LED2,
X2B56,X_EHRPWM1A,AE8
X2B57,X_HDMI1_DDC_SDA,F17
X2B58,X_HDMI1_DDC_SCL,C25
X2B59,X_HDMI1_HPD,B21
X2B60,X_HDMI1_CEC,B20
X2B61,GND,
X2B62,X_VOUT2_D0,B14
X2B63,X_VOUT2_D1,J14
X2B64,X_VOUT2_D2,G13
X2B65,X_VOUT2_D3,J11
X2B66,GND,
X2B67,X_VOUT2_D8,E15
