#,Peripheral,Signal,Route to,Label,Identifier,Power group,Direction,Software Input On Field,Hysteresis Enable Field,Pull Up / Down Config. Field,Pull / Keep Select Field,Pull / Keep Enable Field,Open Drain Enable Field,Speed Field,Drive Strength Field,Slew Rate Field,DDR Select Field,DDR / CMOS Input Mode Field,On Die Termination Field,do_trim Field,do_trim_padn Field
F2,CSI,csi_vsync,CSI_VSYNC,phyCORE X1 pin 2,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
F3,CSI,csi_hsync,CSI_HSYNC,phyCORE X1 pin 3,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E5,CSI,csi_pixclk,CSI_PIXCLK,phyCORE X1 pin 4,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
F5,CSI,csi_mclk,CSI_MCLK,phyCORE X1 pin 5,n/a,NVCC_CSI (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
H16,CSI,"csi_data, 0",UART3_RX_DATA,phyCORE X1 pin 115,n/a,NVCC_UART (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
H17,CSI,"csi_data, 1",UART3_TX_DATA,phyCORE X1 pin 116,n/a,NVCC_UART (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E4,CSI,"csi_data, 2",CSI_DATA00,phyCORE X1 pin 117,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E3,CSI,"csi_data, 3",CSI_DATA01,phyCORE X1 pin 118,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E1,CSI,"csi_data, 5",CSI_DATA03,phyCORE X1 pin 120,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D4,CSI,"csi_data, 6",CSI_DATA04,phyCORE X1 pin 121,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D3,CSI,"csi_data, 7",CSI_DATA05,phyCORE X1 pin 122,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D2,CSI,"csi_data, 8",CSI_DATA06,phyCORE X1 pin 123,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D1,CSI,"csi_data, 9",CSI_DATA07,phyCORE X1 pin 124,n/a,NVCC_CSI (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C1,uSDHC1,usdhc_clk,SD1_CLK,phyCORE X1 pin 6,n/a,NVCC_SD (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C2,uSDHC1,usdhc_cmd,SD1_CMD,phyCORE X1 pin 7,n/a,NVCC_SD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B3,uSDHC1,"usdhc_data, 0",SD1_DATA0,phyCORE X1 pin 8,n/a,NVCC_SD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B2,uSDHC1,"usdhc_data, 1",SD1_DATA1,phyCORE X1 pin 9,n/a,NVCC_SD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
