Pin,Cpu Pin name,SOM pin name,Label,GPIO,MMDC,UART,ELCDIF,EPDC,EIM,uSDHC,ENET,ECSPI,SAI,CSI,FTM,KPP,I2C,SIM,CCM,USB,SRC,GPT,ARM_PLATFORM,FLEXCAN,NAND,QSPI,PWM,WDOG,PCIE,XTALOSC,SNVS,SJC,ADC,SDMA,MIPI_CSI2,MIPI_DSI,MQS,Other,Routing for BOARD_InitPins
N4,I2C1_SCL,,X1A1,"GPIO4_IO08(GPIO4,gpio_io,08)",,"UART4_CTS_B(UART4,uart_cts_b)",,,,"SD2_VSELECT(uSDHC2,sd_vselect)",,"ECSPI3_MISO(ECSPI3,ecspi_miso)",,,,,"I2C1_SCL(I2C1,i2c_scl)",,,,,,,"FLEXCAN1_RX(FLEXCAN1,flexcan_rx)",,,,,,"REF_CLK_24M(XTALOSC,ref_clk_24m)",,,,,,,,,"I2C1_SCL(I2C1,i2c_scl)"
N5,I2C1_SDA,,X1A2,"GPIO4_IO09(GPIO4,gpio_io,09)",,"UART4_RTS_B(UART4,uart_rts_b)",,,,"SD3_VSELECT(uSDHC3,sd_vselect)",,"ECSPI3_MOSI(ECSPI3,ecspi_mosi)",,,,,"I2C1_SDA(I2C1,i2c_sda)",,"CCM_ENET_REF_CLK1(CCM,ccm_enet_ref_clk,1)",,,,,"FLEXCAN1_TX(FLEXCAN1,flexcan_tx)",,,,,,,,,,,,,,,"I2C1_SDA(I2C1,i2c_sda)"
N6,I2C2_SCL,,X1A3,"GPIO4_IO10(GPIO4,gpio_io,10)",,"UART4_RX_DATA(UART4,uart_rx_data)",,,,"SD3_CD_B(uSDHC3,sd_cd_b)",,"ECSPI3_SCLK(ECSPI3,ecspi_sclk)",,,,,"I2C2_SCL(I2C2,i2c_scl)",,"CCM_ENET_REF_CLK2(CCM,ccm_enet_ref_clk,2)",,,,,,,,,"WDOG3_B(WDOG3,wdog_b)",,,,,,,,,,,"I2C2_SCL(I2C2,i2c_scl)"
N7,I2C2_SDA,,X1A4,"GPIO4_IO11(GPIO4,gpio_io,11)",,"UART4_TX_DATA(UART4,uart_tx_data)",,,,"SD3_WP(uSDHC3,sd_wp)",,"ECSPI3_SS0(ECSPI3,ecspi_ss,0)",,,,,"I2C2_SDA(I2C2,i2c_sda)",,"CCM_ENET_REF_CLK3(CCM,ccm_enet_ref_clk,3)",,,,,,,,,"WDOG3_RESET_B_DEB(WDOG3,wdog_reset_b_deb)",,,,,,,,,,,"I2C2_SDA(I2C2,i2c_sda)"
T6,I2C3_SCL,,X1A5,"GPIO4_IO12(GPIO4,gpio_io,12)",,"UART5_CTS_B(UART5,uart_cts_b)",,"EPDC_BDR0(EPDC,epdc_bdr,0)",,,,,,"CSI_VSYNC(CSI,csi_vsync)",,,"I2C3_SCL(I2C3,i2c_scl)",,,,,,,"FLEXCAN2_RX(FLEXCAN2,flexcan_rx)",,,,,,,,,,"SDMA_EXT_EVENT0(SDMA,sdma_ext_event,0)",,,,,"I2C3_SCL(I2C3,i2c_scl)"
T7,I2C3_SDA,,X1A6,"GPIO4_IO13(GPIO4,gpio_io,13)",,"UART5_RTS_B(UART5,uart_rts_b)",,"EPDC_BDR1(EPDC,epdc_bdr,1)",,,,,,"CSI_HSYNC(CSI,csi_hsync)",,,"I2C3_SDA(I2C3,i2c_sda)",,,,,,,"FLEXCAN2_TX(FLEXCAN2,flexcan_tx)",,,,,,,,,,"SDMA_EXT_EVENT1(SDMA,sdma_ext_event,1)",,,,,"I2C3_SDA(I2C3,i2c_sda)"
AD2,JTAG_TMS,,X1A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JTAG_TMS(SJC,jtag_tms)",,,,,,,"JTAG_TMS(SJC,jtag_tms)"
AE1,JTAG_TDO,,X1A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JTAG_TDO(SJC,jtag_tdo)",,,,,,,"JTAG_TDO(SJC,jtag_tdo)"
AC2,JTAG_TDI,,X1A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JTAG_TDI(SJC,jtag_tdi)",,,,,,,"JTAG_TDI(SJC,jtag_tdi)"
AD1,JTAG_TCK,,X1A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JTAG_TCK(SJC,jtag_tck)",,,,,,,"JTAG_TCK(SJC,jtag_tck)"
AB2,JTAG_TRST_B,,X1A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JTAG_TRST_B(SJC,jtag_trst_b)",,,,,,,"JTAG_TRST_B(SJC,jtag_trst_b)"
AE11,SNVS_TAMPER00,,X1A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNVS_TAMPER0(SNVS,tamper,0)",,,,,,,,"SNVS_TAMPER0(SNVS,tamper,0)"
AC11,SNVS_TAMPER01,,X1A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNVS_TAMPER1(SNVS,tamper,1)",,,,,,,,"SNVS_TAMPER1(SNVS,tamper,1)"
AC6,GPIO1_IO12,,X1A16,"GPIO1_IO12(GPIO1,gpio_io,12)",,,,,,"SD2_VSELECT(uSDHC2,sd_vselect)",,,,,,,,,"CCM_ENET_REF_CLK1(CCM,ccm_enet_ref_clk,1)/CCM_EXT_CLK1(CCM,ccm_ext_clk,1)","USB_OTG1_ID(USB,usb_otg1_id)",,,"CM4_NMI(ARM_PLATFORM,arm_platform_cm4_nmi)","FLEXCAN1_RX(FLEXCAN1,flexcan_rx)",,,,,,,"SNVS_VIO_5(SNVS,snvs_vio_5)",,,,,,,,"FLEXCAN1_RX(FLEXCAN1,flexcan_rx)"
AC5,GPIO1_IO13,,X1A17,"GPIO1_IO13(GPIO1,gpio_io,13)",,,,,,"SD3_VSELECT(uSDHC3,sd_vselect)",,,,,,,,,"CCM_ENET_REF_CLK2(CCM,ccm_enet_ref_clk,2)/CCM_PMIC_READY(CCM,ccm_pmic_ready)/CCM_EXT_CLK2(CCM,ccm_ext_clk,2)","USB_OTG2_ID(USB,usb_otg2_id)",,,,"FLEXCAN1_TX(FLEXCAN1,flexcan_tx)",,,,,,,"SNVS_VIO_5_CTL(SNVS,snvs_vio_5_ctl)",,,,,,,,"FLEXCAN1_TX(FLEXCAN1,flexcan_tx)"
AC4,GPIO1_IO14,,X1A18,"GPIO1_IO14(GPIO1,gpio_io,14)",,,,,,"SD3_CD_B(uSDHC3,sd_cd_b)","ENET2_MDIO(ENET2,enet_mdio)",,,,,,,,"CCM_EXT_CLK3(CCM,ccm_ext_clk,3)",,,,,"FLEXCAN2_RX(FLEXCAN2,flexcan_rx)",,,,"WDOG3_B(WDOG3,wdog_b)",,,,,,"SDMA_EXT_EVENT0(SDMA,sdma_ext_event,0)",,,,,"FLEXCAN2_RX(FLEXCAN2,flexcan_rx)"
